dataset,model,n_features,seed,library,approximator,budget,method,runtime_s,n_model_evals,relative_mae,mean_abs_diff,sign_agreement,mean_sample_rho,relative_additivity_gap
bike,decision_tree,12,5,shap,permutation,128.0,shap / permutation,0.0483,104285.0,0.1429108082353507,3.816549007936517,0.9,0.9545454545454547,1.5779525157311172e-16
bike,decision_tree,12,5,shap,permutation,512.0,shap / permutation,0.1634,384132.0,0.05818721598210019,1.5112540343915655,0.9583333333333334,0.9804195804195805,1.3923110432921623e-16
bike,decision_tree,12,5,shap,permutation,2048.0,shap / permutation,0.635,1522237.0,0.03434880832638447,0.8935751175779196,0.975,0.993006993006993,5.383602700729694e-16
bike,decision_tree,12,5,shapiq,kernel,128.0,shapiq / kernel,0.4999,128101.0,0.21956666302737513,5.9468295093235755,0.8583333333333333,0.913986013986014,3.583678629992951e-09
bike,decision_tree,12,5,shapiq,kernel,512.0,shapiq / kernel,0.636,512101.0,0.0738175470181961,1.9238647402611584,0.8666666666666667,0.9706293706293708,3.856181654565356e-09
bike,decision_tree,12,5,shapiq,kernel,2048.0,shapiq / kernel,1.3432,2048101.0,0.023710219706272007,0.6188631856618473,0.925,0.9944055944055945,3.920547228761097e-09
bike,decision_tree,12,5,shapiq,permutation,128.0,shapiq / permutation,2.233,123101.0,0.15917143533287345,4.16505767195767,0.925,0.9531468531468533,1.11384883463373e-16
bike,decision_tree,12,5,shapiq,permutation,512.0,shapiq / permutation,5.3527,508101.0,0.11920396036093114,3.1069321457326873,0.95,0.9769230769230772,7.4256588975582e-17
bike,decision_tree,12,5,shapiq,permutation,2048.0,shapiq / permutation,17.9713,2048101.0,0.04709997109071375,1.2243857313534738,0.9916666666666667,0.9944055944055945,3.34154650390119e-16
bike,decision_tree,12,5,lightshap,kernel,128.0,lightshap / kernel,2.2186,1966910.0,0.0387352918065757,1.010798044349203,0.925,0.9902097902097904,1.2994903070726848e-16
bike,decision_tree,12,5,lightshap,kernel,512.0,lightshap / kernel,4.4142,3867710.0,0.03174603371384304,0.8274166037216806,0.9333333333333333,0.9895104895104895,1.11384883463373e-16
bike,decision_tree,12,5,lightshap,kernel,2048.0,lightshap / kernel,8.3253,7246910.0,0.030394833802964056,0.7919732816529007,0.9416666666666667,0.9902097902097902,9.282073621947748e-17
bike,decision_tree,12,5,lightshap,permutation,128.0,lightshap / permutation,2.1493,1633310.0,0.03918075271765307,1.020873815976736,0.9583333333333334,0.983916083916084,2.413339141706415e-16
bike,decision_tree,12,5,lightshap,permutation,512.0,lightshap / permutation,4.3052,3220910.0,0.03027448980573601,0.787551109416293,0.9583333333333334,0.9846153846153847,1.8564147243895496e-16
bike,decision_tree,12,5,lightshap,permutation,2048.0,lightshap / permutation,7.9535,5985710.0,0.029483418946168502,0.7669745695219058,0.9583333333333334,0.9853146853146854,2.042056196828505e-16
bike,decision_tree,12,5,dalex,permutation,128.0,dalex / permutation,0.9514,144111.0,0.1975509736531298,5.275767159692205,0.9583333333333334,0.9741258741258741,8.353866259752975e-17
bike,decision_tree,12,5,dalex,permutation,512.0,dalex / permutation,3.5855,560111.0,0.09407839335753895,2.4742190599237137,0.95,0.9776223776223777,4.6410368109738747e-17
bike,decision_tree,12,5,dalex,permutation,2048.0,dalex / permutation,14.4647,2224111.0,0.04335768611636176,1.1285163324978886,0.9833333333333333,0.9944055944055943,1.11384883463373e-16
bike,linear_regularized,12,5,shap,kernel,128.0,shap / kernel,0.0468,128110.0,0.0179250246607217,0.44241008671481635,1.0,0.9940470585721135,7.096565843597369e-16
bike,linear_regularized,12,5,shap,kernel,512.0,shap / kernel,0.1161,512110.0,0.01577970040094226,0.3895376610022548,1.0,0.99544811150879,8.042774622743684e-16
bike,linear_regularized,12,5,shap,kernel,2048.0,shap / kernel,0.4636,2048110.0,0.015553025096776023,0.38402367640412755,1.0,0.9961486379771284,7.569670233170527e-16
bike,linear_regularized,12,5,shap,permutation,128.0,shap / permutation,0.0541,104285.0,3.4133784082486966e-15,8.473407161109966e-14,1.0,1.0,2.9963278006300004e-15
bike,linear_regularized,12,5,shap,permutation,512.0,shap / permutation,0.1581,384132.0,3.1125936764799643e-15,7.726735917756856e-14,1.0,1.0,3.0751785322255268e-15
bike,linear_regularized,12,5,shap,permutation,2048.0,shap / permutation,0.6063,1522237.0,3.2367388894806014e-15,8.034915325675721e-14,1.0,1.0,3.5798232144368946e-15
bike,linear_regularized,12,5,shapiq,kernel,128.0,shapiq / kernel,0.5215,128101.0,1.3924379409621867e-07,3.4566029677302046e-06,1.0,1.0,3.4536620438840527e-15
bike,linear_regularized,12,5,shapiq,kernel,512.0,shapiq / kernel,0.6462,512101.0,2.6651735587399996e-07,6.616054858993765e-06,1.0,1.0,4.920285651560843e-15
bike,linear_regularized,12,5,shapiq,kernel,2048.0,shapiq / kernel,1.306,2048101.0,2.6754074016213747e-07,6.641460036767763e-06,1.0,1.0,4.8729752126035256e-15
bike,linear_regularized,12,5,shapiq,permutation,128.0,shapiq / permutation,2.3075,123101.0,3.4060176518489276e-15,8.455134740496343e-14,1.0,1.0,6.308058527642108e-16
bike,linear_regularized,12,5,shapiq,permutation,512.0,shapiq / permutation,5.6304,508101.0,3.3145951938811814e-15,8.228186650545885e-14,1.0,1.0,8.515879012316844e-16
bike,linear_regularized,12,5,shapiq,permutation,2048.0,shapiq / permutation,18.8033,2048101.0,3.5390703118346014e-15,8.785426090322327e-14,1.0,1.0,2.9490173616726845e-15
bike,linear_regularized,12,5,lightshap,kernel,128.0,lightshap / kernel,0.0515,44110.0,6.27831524282255e-15,1.5585357078980642e-13,1.0,1.0,6.308058527642105e-17
bike,linear_regularized,12,5,lightshap,kernel,512.0,lightshap / kernel,0.0504,44110.0,6.27831524282255e-15,1.5585357078980642e-13,1.0,1.0,6.308058527642105e-17
bike,linear_regularized,12,5,lightshap,kernel,2048.0,lightshap / kernel,0.0502,44110.0,6.27831524282255e-15,1.5585357078980642e-13,1.0,1.0,6.308058527642105e-17
bike,linear_regularized,12,5,lightshap,permutation,128.0,lightshap / permutation,0.0708,60110.0,3.2796548945151955e-15,8.141450476747043e-14,1.0,1.0,1.261611705528421e-16
bike,linear_regularized,12,5,lightshap,permutation,512.0,lightshap / permutation,0.0708,60110.0,3.2796548945151955e-15,8.141450476747043e-14,1.0,1.0,1.261611705528421e-16
bike,linear_regularized,12,5,lightshap,permutation,2048.0,lightshap / permutation,0.0709,60110.0,3.2796548945151955e-15,8.141450476747043e-14,1.0,1.0,1.261611705528421e-16
bike,linear_regularized,12,5,dalex,permutation,128.0,dalex / permutation,0.9078,144111.0,3.278480900456498e-15,8.1385361413074e-14,1.0,1.0,6.781162917215266e-16
bike,linear_regularized,12,5,dalex,permutation,512.0,dalex / permutation,3.4538,560111.0,3.181337550805895e-15,7.89738644850028e-14,1.0,1.0,7.885073159552633e-16
bike,linear_regularized,12,5,dalex,permutation,2048.0,dalex / permutation,13.7219,2224111.0,3.2326019580356694e-15,8.02464576269794e-14,1.0,1.0,7.7273716963615805e-16
bike,gradient_boosting,12,5,shap,kernel,128.0,shap / kernel,0.1279,128110.0,0.06507664112772642,1.609143526066604,1.0,0.9691783689461022,6.371993213511567e-17
bike,gradient_boosting,12,5,shap,kernel,512.0,shap / kernel,0.3268,512110.0,0.03576186430919242,0.8798761174677868,0.99,0.9873920571228989,2.0402070013904e-16
bike,gradient_boosting,12,5,shap,kernel,2048.0,shap / kernel,1.1875,2048110.0,0.02125483141024816,0.5229600011943973,1.0,0.9940470585721135,1.3270114307037851e-16
bike,gradient_boosting,12,5,shap,permutation,128.0,shap / permutation,0.1535,104285.0,0.039141150924575076,0.9684169810737903,1.0,0.9895104895104897,1.7099156100478286e-15
