dataset,model,library,approximator,budget,method,seed_count,runtime_median,runtime_q25,runtime_q75,relative_mae_median,relative_mae_q25,relative_mae_q75,rho_median,rho_q25,rho_q75,sign_agreement_median,sign_agreement_q25,sign_agreement_q75,rel_additivity_gap_median,rel_additivity_gap_q25,rel_additivity_gap_q75
ames_housing,decision_tree,shap,permutation,512.0,shap / permutation,10,0.16310000000000002,0.16205,0.16495,0.0935115554147541,0.07931819358927028,0.10463448945738688,0.9786713286713289,0.9755653090226268,0.983916083916084,0.972850122850123,0.9646396396396397,0.9803571428571428,3.7380218206398675e-17,2.6066995331622743e-17,9.561533421983788e-17
ames_housing,decision_tree,shap,permutation,2048.0,shap / permutation,10,0.6367499999999999,0.632475,0.6413,0.043739482459454956,0.03909229286150126,0.051437845424000095,0.9919433198380567,0.990909090909091,0.9940559440559441,0.990575221238938,0.9824404761904761,0.997787610619469,1.4279724140172155e-16,1.2180668834804476e-16,1.857139768066582e-16
ames_housing,decision_tree,shapiq,kernel,128.0,shapiq / kernel,10,0.49460000000000004,0.488675,0.501475,0.25311354727005186,0.223002982103029,0.30501081628720866,0.8870629370629372,0.8779720279720281,0.9158641208429456,0.8273809523809523,0.8075221238938053,0.8770833333333334,4.0873420628626266e-09,2.6464943163864837e-09,4.682233091042595e-09
ames_housing,decision_tree,shapiq,kernel,512.0,shapiq / kernel,10,0.64185,0.6261,0.64635,0.11279562025355173,0.09194902108573252,0.12138536270348908,0.9573426573426576,0.9461538461538462,0.9636363636363636,0.9013274336283186,0.89375,0.9118890977443609,4.22674676777561e-09,3.0671884453571138e-09,4.86670024251193e-09
ames_housing,decision_tree,shapiq,kernel,2048.0,shapiq / kernel,10,1.3367,1.32805,1.347875,0.0361256266938826,0.03035954076890727,0.04035164215696304,0.9853146853146855,0.9814685314685316,0.988811188811189,0.9513274336283186,0.9416666666666667,0.9632142857142857,4.2680664238481665e-09,3.062594972695217e-09,4.835182703301428e-09
ames_housing,decision_tree,shapiq,permutation,128.0,shapiq / permutation,10,2.1871,2.14375,2.2159,0.24063915657693274,0.22526637985451314,0.2693475946261046,0.9209790209790212,0.9155594405594407,0.9372506440927493,0.9340265486725664,0.925,0.9416666666666667,1.1993782869038741e-17,0.0,3.145485624215028e-17
ames_housing,decision_tree,shapiq,permutation,512.0,shapiq / permutation,10,5.3237000000000005,5.1861,5.371824999999999,0.11411549747916772,0.10292868158663543,0.13136445629783938,0.9713286713286715,0.9685314685314687,0.976923076923077,0.9644381223328592,0.9514380530973451,0.9666666666666667,4.714713668523864e-17,2.3620939367825803e-17,7.826330881556045e-17
ames_housing,decision_tree,shapiq,permutation,2048.0,shapiq / permutation,10,17.71865,17.523600000000002,17.823925000000003,0.05299947701955507,0.04909340864326382,0.06022887067226967,0.9908919151024413,0.988811188811189,0.9935314685314686,0.9869837758112094,0.9805357142857143,1.0,2.2866537183206996e-16,1.6359975911151869e-16,2.6893767564431414e-16
ames_housing,gradient_boosting,dalex,permutation,128.0,dalex / permutation,10,2.3673,2.3538,2.391425,0.10273291972614255,0.09481293465514332,0.12247979705255681,0.9772727272727273,0.9748251748251751,0.9833756594282911,0.9681818181818183,0.9583333333333334,0.9882627118644067,5.319757082419816e-16,4.176028004737959e-16,1.0089574148683032e-15
ames_housing,gradient_boosting,dalex,permutation,512.0,dalex / permutation,10,9.063500000000001,8.991475000000001,9.0942,0.04365961217368652,0.04035046526621625,0.06087317491090513,0.9898417372101584,0.986888111888112,0.9921328671328673,0.9907627118644068,0.9821969696969697,0.9916666666666667,5.586026330505221e-16,4.2412697048971637e-16,9.69390468585467e-16
ames_housing,gradient_boosting,dalex,permutation,2048.0,dalex / permutation,10,36.1149,35.953075,36.45375,0.023454044057250253,0.022528107481901927,0.031371704894105706,0.9958041958041959,0.993881118881119,0.9975524475524477,0.9916666666666667,0.990909090909091,0.9979166666666667,5.478072395059568e-16,4.1903664097711193e-16,9.767017583259038e-16
ames_housing,gradient_boosting,lightshap,kernel,128.0,lightshap / kernel,10,1.86165,1.6344750000000001,2.2974,0.022096733613444105,0.01965226550121496,0.023928516006806115,0.9930069930069931,0.9912587412587412,0.9965034965034967,0.9713636363636364,0.94375,0.9801136363636364,6.394529771948844e-17,3.5731244061275227e-17,1.2025586470617383e-16
ames_housing,gradient_boosting,lightshap,kernel,512.0,lightshap / kernel,10,1.99985,1.633675,2.781175,0.02136691658971052,0.019640491622810965,0.023877507764439247,0.9930069930069931,0.9912587412587412,0.9965034965034967,0.9713636363636364,0.9375,0.98125,6.394529771948844e-17,3.5731244061275227e-17,1.2025586470617383e-16
ames_housing,gradient_boosting,lightshap,kernel,2048.0,lightshap / kernel,10,2.00365,1.654325,2.8175,0.02136691658971052,0.019640491622810965,0.023877507764439247,0.9930069930069931,0.9912587412587412,0.9965034965034967,0.9713636363636364,0.9375,0.98125,6.394529771948844e-17,3.5731244061275227e-17,1.2025586470617383e-16
ames_housing,gradient_boosting,lightshap,permutation,128.0,lightshap / permutation,10,1.7888,1.5703,2.1885250000000003,0.017961509794622764,0.017353409093294983,0.0197262426878776,0.9958041958041959,0.9940559440559442,0.9991258741258742,1.0,0.9915607344632769,1.0,3.7474332425876335e-17,0.0,5.722349716361636e-17
ames_housing,gradient_boosting,lightshap,permutation,512.0,lightshap / permutation,10,1.9118,1.56345,2.69585,0.01798319419801732,0.01664052422225632,0.01967950227769607,0.9958041958041959,0.9940559440559442,0.9991258741258742,1.0,0.9915607344632769,1.0,5.595667640373916e-17,5.564400790875189e-18,9.466267120680214e-17
ames_housing,gradient_boosting,lightshap,permutation,2048.0,lightshap / permutation,10,1.9147500000000002,1.5655999999999999,2.68365,0.01798319419801732,0.01664052422225632,0.01967950227769607,0.9958041958041959,0.9940559440559442,0.9991258741258742,1.0,0.9915607344632769,1.0,5.595667640373916e-17,5.564400790875189e-18,9.466267120680214e-17
