dataset,model,library,approximator,method,device,n_features,runtime_median,runtime_q25,runtime_q75,gap_mean,gap_q25,gap_q75,rho_median,rho_q25,rho_q75,relative_mae_median,relative_mae_q25,relative_mae_q75,sign_agreement_median,seed_count
ames_housing,mlp,captum,gradient_shap,captum / gradient_shap,gpu,79,0.1075,0.10505,0.1083,0.05929764665096221,0.04480541560330463,0.06485597563819298,0.991071528573952,0.9889714668907619,0.9920180279479908,0.0834407035081576,0.07920737238288056,0.08709224521605771,0.9666835357624831,10
ames_housing,mlp,shapiq,kernel,shapiq / kernel,cpu,79,1.2313,1.2277,1.23505,2.020952271879543e-07,1.7047908181623155e-07,2.783978345864403e-07,0.8762118121711899,0.8486759030474573,0.8974483570985555,0.3013419420695461,0.27537335606925895,0.33690737207878474,0.825536231884058,10
ames_housing,mlp,shapiq,permutation,shapiq / permutation,cpu,79,1.0574,1.028425,1.0967,2.19143995243853e-07,1.5375052061831692e-07,2.930977310065239e-07,0.9746894825424476,0.9729107293587319,0.979704148643116,0.1418664661739155,0.13864993101627698,0.14942234934295226,0.9400303643724697,10
ames_housing,mlp,shapiq_proxy,proxy,shapiq / proxyShap,cpu,79,1.3068,1.29325,1.3284749999999999,2.8820461183700916e-07,2.373778858834671e-07,3.1271187651455634e-07,0.862543962237786,0.852327629660983,0.8686925071976711,0.6222682078407663,0.6104102873611345,0.6267924038452998,0.8105263157894737,10
ames_housing,transformer,captum,deep_lift_shap,captum / deep_lift_shap,cpu,79,4.1791,4.0856,4.20035,0.5407952690088151,0.3892033705792375,0.6066288014313352,0.9630559329818877,0.9512152207001523,0.9656173862480284,0.22098476313686866,0.20416451697472945,0.26129748496295196,0.9281723143475127,10
ames_housing,transformer,captum,deep_lift_shap,captum / deep_lift_shap,gpu,79,0.23345,0.217375,0.265425,0.5324392573060124,0.39671609355512494,0.6490012131024728,0.7518842299058898,0.7010403883380683,0.7801517844101464,0.78226567677701,0.7262728945431935,0.9060920199296322,0.7768218623481782,10
ames_housing,transformer,captum,gradient_shap,captum / gradient_shap,cpu,79,10.90495,10.7802,10.977625,0.06319231581635286,0.04212539854756655,0.07290536158140373,0.7518842299058897,0.7010403883380683,0.7801517844101464,0.78226567677701,0.7262728945431935,0.9060920199296322,0.7768218623481782,10
ames_housing,transformer,captum,gradient_shap,captum / gradient_shap,gpu,79,0.1126,0.10700000000000001,0.14555,,,,,,,,,,,10
ames_housing,transformer,shapiq,kernel,shapiq / kernel,cpu,79,390.4531,380.032125,395.34915,3.706113421726734e-07,2.648387546501994e-07,4.172054774979444e-07,0.7382991599472593,0.6754557473419835,0.7635026414784465,0.7946398880361768,0.7540094184294889,0.9267013964937796,0.7668584474885844,10
ames_housing,transformer,shapiq,permutation,shapiq / permutation,cpu,79,342.13795000000005,338.76099999999997,348.368825,7.53878683627162e-07,5.098441872202424e-07,8.94550441843141e-07,0.7490818739945636,0.6888510843660962,0.7698464100983906,0.7872526822409187,0.7410979325008314,0.9187205075098251,0.7761929824561403,10
