dataset,model,library,approximator,device,max_depth,seed,n_features,runtime_s
diabetes_130,random_forest,woodelf,path_dependent,gpu,12,0,47,36.1831
diabetes_130,random_forest,woodelf,interventional,gpu,12,0,47,36.5367
diabetes_130,random_forest,woodelf,path_dependent,cpu,15,0,47,2.9922
diabetes_130,random_forest,woodelf,interventional,cpu,15,0,47,3.2945
diabetes_130,random_forest,woodelf,path_dependent,gpu,15,0,47,49.2949
diabetes_130,random_forest,woodelf,interventional,gpu,15,0,47,49.047
diabetes_130,random_forest,woodelf,path_dependent,cpu,20,0,47,3.8262
diabetes_130,random_forest,woodelf,interventional,cpu,20,0,47,4.0849
diabetes_130,random_forest,woodelf,path_dependent,gpu,20,0,47,95.453
diabetes_130,random_forest,woodelf,interventional,gpu,20,0,47,92.6204
diabetes_130,random_forest,woodelf,path_dependent,cpu,50,0,47,3.5903
diabetes_130,random_forest,woodelf,interventional,cpu,50,0,47,3.8215
diabetes_130,random_forest,woodelf,path_dependent,gpu,50,0,47,608.0455
diabetes_130,random_forest,woodelf,interventional,gpu,50,0,47,625.9621
diabetes_130,random_forest,woodelf,path_dependent,cpu,80,0,47,3.5351
diabetes_130,random_forest,woodelf,interventional,cpu,80,0,47,3.7215
diabetes_130,random_forest,woodelf,path_dependent,gpu,80,0,47,610.7446
diabetes_130,random_forest,woodelf,interventional,gpu,80,0,47,605.5094
covertype,xgboost,woodelf,path_dependent,cpu,4,0,54,0.0001
covertype,xgboost,woodelf,interventional,cpu,4,0,54,0.0001
covertype,xgboost,woodelf,path_dependent,gpu,4,0,54,0.0
covertype,xgboost,woodelf,interventional,gpu,4,0,54,0.0
covertype,xgboost,woodelf,path_dependent,cpu,8,0,54,0.0001
covertype,xgboost,woodelf,interventional,cpu,8,0,54,0.0001
covertype,xgboost,woodelf,path_dependent,gpu,8,0,54,0.0
covertype,xgboost,woodelf,interventional,gpu,8,0,54,0.0001
covertype,xgboost,woodelf,path_dependent,cpu,12,0,54,0.0001
covertype,xgboost,woodelf,interventional,cpu,12,0,54,0.0001
