dataset,model,library,approximator,device,seed,n_features,runtime_s,relative_additivity_gap,mean_sample_rho,relative_mae,sign_agreement,method
diabetes_130,mlp,captum,deep_lift_shap,gpu,1,47,0.046,0.5704261007630167,0.9677736897606583,0.3660636122839965,0.9646302250803859,captum / deep_lift_shap
diabetes_130,transformer,captum,gradient_shap,gpu,1,47,0.2047,,,,,captum / gradient_shap
diabetes_130,transformer,captum,deep_lift_shap,gpu,1,47,0.1218,0.6384061664588804,0.7069117248366199,0.7472005583023389,0.7845659163987139,captum / deep_lift_shap
diabetes_130,cnn_1d,captum,gradient_shap,gpu,1,47,0.115,0.1158169287973498,0.9777463335576483,0.23242950160268414,0.9839228295819936,captum / gradient_shap
diabetes_130,cnn_1d,captum,deep_lift_shap,gpu,1,47,0.0377,0.2222758284709599,0.9777463335576483,0.23242950160268414,0.9839228295819936,captum / deep_lift_shap
covertype,mlp,captum,gradient_shap,gpu,1,54,0.1118,0.0434144321004873,0.9388147817594922,0.3432164730792401,0.9335180055401662,captum / gradient_shap
covertype,mlp,captum,deep_lift_shap,gpu,1,54,0.0457,0.260808665895054,0.9388147817594922,0.3432164730792401,0.9335180055401662,captum / deep_lift_shap
covertype,transformer,captum,gradient_shap,gpu,1,54,0.1264,,,,,captum / gradient_shap
covertype,transformer,captum,deep_lift_shap,gpu,1,54,0.1212,0.9194833109270228,0.45535772997401375,1.209888100612307,0.6952908587257618,captum / deep_lift_shap
covertype,cnn_1d,captum,gradient_shap,gpu,1,54,0.1431,0.0806854017605685,0.846384942203857,0.3951095655066099,0.9279778393351801,captum / gradient_shap
covertype,cnn_1d,captum,deep_lift_shap,gpu,1,54,0.0387,0.5459567738010498,0.846384942203857,0.3951095655066099,0.9279778393351801,captum / deep_lift_shap
gisette,mlp,captum,gradient_shap,gpu,2,100,0.1234,0.0489826395409205,0.9813285328532853,1.251297075913666,0.943,captum / gradient_shap
gisette,mlp,captum,deep_lift_shap,gpu,2,100,0.0461,0.914985488085638,0.9813285328532853,1.251297075913666,0.943,captum / deep_lift_shap
gisette,transformer,captum,gradient_shap,gpu,2,100,0.137,,,,,captum / gradient_shap
gisette,transformer,captum,deep_lift_shap,gpu,2,100,0.1434,,,,,captum / deep_lift_shap
gisette,cnn_1d,captum,gradient_shap,gpu,2,100,0.2384,0.087920797302928,0.9934545454545454,0.041159194717366426,0.996,captum / gradient_shap
gisette,cnn_1d,captum,deep_lift_shap,gpu,2,100,0.0576,0.0087108925508884,0.9934545454545454,0.041159194717366426,0.996,captum / deep_lift_shap
ames_housing,mlp,captum,gradient_shap,gpu,2,79,0.1522,0.0313331851025578,0.9878382828221233,0.08515812810614697,0.9623188405797102,captum / gradient_shap
