dataset,model,n_features,seed,library,approximator,budget,method,runtime_s,n_model_evals,cross_method_rho_mean,hit_time_cap,evals_missing
ames_housing,decision_tree,32,0,shap,kernel,512,shap / kernel,0.3865,512110.0,0.7576424747365443,False,False
ames_housing,decision_tree,32,0,shap,kernel,1024,shap / kernel,0.5433,1024110.0,0.7911790374750823,False,False
ames_housing,decision_tree,32,0,shap,permutation,512,shap / permutation,4.5673,343189.0,0.86954367535541,False,False
ames_housing,decision_tree,32,0,shap,permutation,1024,shap / permutation,0.227,704994.0,0.9063546083648482,False,False
ames_housing,decision_tree,32,0,shapiq,kernel,512,shapiq / kernel,0.8324,512101.0,0.7351762044272953,False,False
ames_housing,decision_tree,32,0,shapiq,kernel,1024,shapiq / kernel,1.162,1024101.0,0.8089905644617351,False,False
ames_housing,decision_tree,32,0,shapiq,permutation,512,shapiq / permutation,3.1143,498101.0,0.844086612407872,False,False
ames_housing,decision_tree,32,0,shapiq,permutation,1024,shapiq / permutation,4.7083,994101.0,0.9002707531425825,False,False
ames_housing,decision_tree,32,0,lightshap,kernel,512,lightshap / kernel,30.7957,31744110.0,0.8717956949441907,False,False
ames_housing,decision_tree,32,0,lightshap,kernel,1024,lightshap / kernel,61.6729,63488110.0,0.9112568275532585,False,False
ames_housing,decision_tree,32,0,lightshap,permutation,512,lightshap / permutation,29.8268,29760110.0,0.8906258100314619,False,False
ames_housing,decision_tree,32,0,lightshap,permutation,1024,lightshap / permutation,59.0559,59456110.0,0.9206034802866166,False,False
ames_housing,decision_tree,32,0,dalex,permutation,512,dalex / permutation,3.4702,529111.0,0.8568539723734531,False,False
ames_housing,decision_tree,32,0,dalex,permutation,1024,dalex / permutation,6.8984,1057111.0,0.9113113677457442,False,False
ames_housing,linear_regularized,32,0,shap,kernel,512,shap / kernel,0.6621,512110.0,0.8086487050923853,False,False
ames_housing,linear_regularized,32,0,shap,kernel,1024,shap / kernel,1.0787,1024110.0,0.8141350003970746,False,False
ames_housing,linear_regularized,32,0,shap,permutation,512,shap / permutation,6.7715,343189.0,0.9681081175153975,False,False
ames_housing,linear_regularized,32,0,shap,permutation,1024,shap / permutation,0.208,704994.0,0.9690225000661791,False,False
