dataset,model,n_features,seed,library,backend,approximator,budget,method,device,imputer,n_background,n_eval,runtime_s,n_model_evals,relative_additivity_gap,relative_mae,mean_abs_diff,sign_agreement,mean_sample_rho
ames_housing,transformer,79,0,shap,shap_nn_approx,deep,512,shap / deep,cpu,marginal,100,10,3.9911,0,0.5596382287957458,0.47269290166735733,752.7304197066948,0.8229166666666666,0.8524111889936062
ames_housing,transformer,79,0,lightshap,lightshap_approx,kernel,512,lightshap / kernel,cpu,marginal,100,10,3601.0988,4258910,,,,,
ames_housing,transformer,79,0,lightshap,lightshap_approx,permutation,512,lightshap / permutation,cpu,marginal,100,10,3601.0644,4256710,,,,,
ames_housing,transformer,79,0,dalex,dalex_approx,permutation,512,dalex / permutation,cpu,marginal,100,10,350.3811,481111,6.30524158272156e-07,0.09481981019889667,151.3637410565268,0.9401041666666666,0.9865662512223616
ames_housing,transformer,79,0,shapiq_proxy,shapiq_proxy,proxy,512,shapiq / proxyShap,cpu,marginal,100,10,387.4191,512101,8.686813058511855e-07,0.6467443367948458,815.3312869631906,0.7864583333333334,0.8627190029168214
ames_housing,transformer,79,0,shapiq,shapiq_approx,kernel,512,shapiq / kernel,cpu,marginal,100,10,388.9196,512101,8.006638057885581e-07,0.11625201135046508,186.19027060458922,0.9049479166666666,0.968989415310617
ames_housing,transformer,79,0,shapiq,shapiq_approx,permutation,512,shapiq / permutation,cpu,marginal,100,10,349.8095,470101,1.032008918011387e-06,0.09713332060826456,155.16125987692325,0.9348958333333334,0.9859090309833899
ames_housing,cnn_1d,79,0,captum,captum_approx,gradient_shap,512,captum / gradient_shap,cpu,marginal,100,10,0.1949,0,0.045030969793109,0.05547205993708123,50.85065423038941,0.9935064935064936,0.9961367592107987
ames_housing,cnn_1d,79,0,captum,captum_approx,deep_lift_shap,512,captum / deep_lift_shap,cpu,marginal,100,10,0.1415,0,4.201002863403552e-07,0.05547205993708123,50.85065423038941,0.9935064935064936,0.9961367592107987
ames_housing,cnn_1d,79,0,shap,shap_nn_approx,gradient,512,shap / gradient,cpu,marginal,100,10,0.403,0,0.0386687369326574,0.07615153182792225,69.91499372941199,0.9883116883116884,0.9937949585559711
ames_housing,cnn_1d,79,0,shap,shap_nn_approx,deep,512,shap / deep,cpu,marginal,100,10,0.0958,0,3.500324931048137e-07,0.05547205407774995,50.85064867825448,0.9935064935064936,0.9961367592107987
ames_housing,cnn_1d,79,0,lightshap,lightshap_approx,kernel,512,lightshap / kernel,cpu,marginal,100,10,1039.44,79872110,1.6488936243945176e-06,0.0608033744355915,55.71645045416194,0.990909090909091,0.995972468205324
ames_housing,cnn_1d,79,0,lightshap,lightshap_approx,permutation,512,lightshap / permutation,cpu,marginal,100,10,1047.451,77982110,1.6488936241988932e-06,0.060785233018444323,55.6994326627707,0.990909090909091,0.9959821950890999
ames_housing,cnn_1d,79,0,dalex,dalex_approx,permutation,512,dalex / permutation,cpu,marginal,100,10,2.4372,481111,1.695104655445933e-06,0.07084030498361377,64.91532115453407,0.990909090909091,0.9957131902773894
ames_housing,cnn_1d,79,0,shapiq_proxy,shapiq_proxy,proxy,512,shapiq / proxyShap,cpu,marginal,100,10,4.0283,512101,1.6520696828404703e-06,0.7031093142769242,488.61406121252026,0.8818181818181818,0.9261071452651126
ames_housing,cnn_1d,79,0,shapiq,shapiq_approx,kernel,512,shapiq / kernel,cpu,marginal,100,10,3.9402,512101,1.649034572194884e-06,0.0773221974059013,70.94993755882207,0.987012987012987,0.9938741107420581
ames_housing,cnn_1d,79,0,shapiq,shapiq_approx,permutation,512,shapiq / permutation,cpu,marginal,100,10,2.1691,470101,1.6488936241988932e-06,0.06826635815186483,62.63375780046035,0.990909090909091,0.9955513160209977
bike,mlp,12,0,captum,captum_approx,gradient_shap,512,captum / gradient_shap,cpu,marginal,100,10,0.097,0,0.0279514802501275,0.06033553430978755,1.303013432957232,0.975,0.9895104895104897
bike,mlp,12,0,captum,captum_approx,deep_lift_shap,512,captum / deep_lift_shap,cpu,marginal,100,10,0.0185,0,1.3483439905524946e-07,0.06033553430978755,1.303013432957232,0.975,0.9895104895104897
bike,mlp,12,0,shap,shap_nn_approx,gradient,512,shap / gradient,cpu,marginal,100,10,0.36,0,0.0441548900943332,0.07055358551550582,1.5079166719845436,0.9833333333333333,0.9937062937062938
bike,mlp,12,0,shap,shap_nn_approx,deep,512,shap / deep,cpu,marginal,100,10,0.0222,0,1.8064711257458874e-07,0.060335519749228135,1.303013126179576,0.975,0.9895104895104897
bike,mlp,12,0,lightshap,lightshap_approx,kernel,512,lightshap / kernel,cpu,marginal,100,10,13.1483,11264110,2.4587449147891282e-08,0.08509087795986828,1.798161925405645,0.9833333333333333,0.990909090909091
bike,mlp,12,0,lightshap,lightshap_approx,permutation,512,lightshap / permutation,cpu,marginal,100,10,12.4862,9240110,8.724578390107568e-09,0.08496925554090183,1.795409969426206,0.9833333333333333,0.9916083916083919
bike,mlp,12,0,dalex,dalex_approx,permutation,512,dalex / permutation,cpu,marginal,100,10,2.4137,560111,3.071051724417455e-07,0.0925737873733182,1.954204611104819,0.9833333333333333,0.9923076923076926
bike,mlp,12,0,shapiq_proxy,shapiq_proxy,proxy,512,shapiq / proxyShap,cpu,marginal,100,10,0.8805,512101,1.571062986855644e-07,0.09402641187327576,1.9679705249470567,0.9833333333333333,0.9916083916083916
bike,mlp,12,0,shapiq,shapiq_approx,kernel,512,shapiq / kernel,cpu,marginal,100,10,0.4666,512101,9.022867008578372e-09,0.09147018739394244,1.936147453263479,0.9583333333333334,0.9916083916083916
bike,mlp,12,0,shapiq,shapiq_approx,permutation,512,shapiq / permutation,cpu,marginal,100,10,2.6331,508101,1.1008832095498429e-07,0.0918053318198637,1.9254694990653929,0.975,0.9797202797202799
bike,transformer,12,0,captum,captum_approx,gradient_shap,512,captum / gradient_shap,cpu,marginal,100,10,1.619,0,0.0813497048402395,1.1709460733107997,27.559939960048847,0.6583333333333333,0.579020979020979
bike,transformer,12,0,captum,captum_approx,deep_lift_shap,512,captum / deep_lift_shap,cpu,marginal,100,10,0.5935,0,1.417973256736296,1.1709460733107997,27.559939960048847,0.6583333333333333,0.579020979020979
bike,transformer,12,0,shap,shap_nn_approx,gradient,512,shap / gradient,cpu,marginal,100,10,1.7092,0,0.0630459503505712,0.097530240580421,1.964156790319407,0.9583333333333334,0.9874125874125876
bike,transformer,12,0,shap,shap_nn_approx,deep,512,shap / deep,cpu,marginal,100,10,0.5805,0,0.9125297309782,0.7932612886524246,18.403386333212254,0.8083333333333333,0.7174825174825176
bike,transformer,12,0,lightshap,lightshap_approx,kernel,512,lightshap / kernel,cpu,marginal,100,10,1262.2965,11264110,1.587865682889106e-07,0.08225825006550697,1.6603822946172364,0.9333333333333333,0.9818181818181818
bike,transformer,12,0,lightshap,lightshap_approx,permutation,512,lightshap / permutation,cpu,marginal,100,10,1061.23,9240110,1.5878656810405868e-07,0.08227978709846537,1.6607944687571106,0.9333333333333333,0.9818181818181818
bike,transformer,12,0,dalex,dalex_approx,permutation,512,dalex / permutation,cpu,marginal,100,10,36.6267,560111,2.264126335256741e-07,0.08549210166613758,1.7252604556089457,0.9333333333333333,0.9846153846153847
bike,transformer,12,0,shapiq_proxy,shapiq_proxy,proxy,512,shapiq / proxyShap,cpu,marginal,100,10,54.5126,512101,2.549012148362752e-07,0.08139979830024266,1.627096907955438,0.9333333333333333,0.9818181818181818
bike,transformer,12,0,shapiq,shapiq_approx,kernel,512,shapiq / kernel,cpu,marginal,100,10,56.4014,512101,1.5884048959976792e-07,0.08233289464389676,1.663284964502522,0.925,0.9825174825174827
bike,transformer,12,0,shapiq,shapiq_approx,permutation,512,shapiq / permutation,cpu,marginal,100,10,33.286,508101,2.299569765962488e-07,0.08586982354786557,1.7313485347544377,0.9333333333333333,0.9825174825174827
bike,cnn_1d,12,0,captum,captum_approx,gradient_shap,512,captum / gradient_shap,cpu,marginal,100,10,0.0786,0,0.0483661252511158,0.035810832921101245,0.4001424108942349,0.9916666666666667,0.9888111888111888
bike,cnn_1d,12,0,captum,captum_approx,deep_lift_shap,512,captum / deep_lift_shap,cpu,marginal,100,10,0.0294,0,2.1157280588757524e-07,0.035810832921101245,0.4001424108942349,0.9916666666666667,0.9888111888111888
bike,cnn_1d,12,0,shap,shap_nn_approx,gradient,512,shap / gradient,cpu,marginal,100,10,0.3808,0,0.0709057378631155,0.05630673024410809,0.6296380996825359,0.9916666666666667,0.988811188811189
bike,cnn_1d,12,0,shap,shap_nn_approx,deep,512,shap / deep,cpu,marginal,100,10,0.0258,0,2.613667963357253e-07,0.03581081608558845,0.40014222040772446,0.9916666666666667,0.9888111888111888
bike,cnn_1d,12,0,lightshap,lightshap_approx,kernel,512,lightshap / kernel,cpu,marginal,100,10,34.2572,11264110,1.877708654616741e-07,0.05318986116734467,0.5987309010066921,0.9833333333333333,0.9881118881118882
bike,cnn_1d,12,0,lightshap,lightshap_approx,permutation,512,lightshap / permutation,cpu,marginal,100,10,22.8525,9240110,1.877708654616741e-07,0.0531480032218453,0.5982802436997499,0.9833333333333333,0.9881118881118882
bike,cnn_1d,12,0,dalex,dalex_approx,permutation,512,dalex / permutation,cpu,marginal,100,10,2.8727,560111,7.627199653192892e-07,0.0561408293099785,0.6322384194752503,0.9833333333333333,0.988811188811189
bike,cnn_1d,12,0,shapiq_proxy,shapiq_proxy,proxy,512,shapiq / proxyShap,cpu,marginal,100,10,0.9517,512101,2.516235703012658e-07,0.0772111753913595,0.8452967207054819,0.9916666666666667,0.9853146853146854
bike,cnn_1d,12,0,shapiq,shapiq_approx,kernel,512,shapiq / kernel,cpu,marginal,100,10,0.5915,512101,1.8755474744106061e-07,0.05262410923464354,0.5929651902005916,0.9916666666666667,0.988811188811189
bike,cnn_1d,12,0,shapiq,shapiq_approx,permutation,512,shapiq / permutation,cpu,marginal,100,10,3.499,508101,2.4066406693356786e-07,0.05647699084351422,0.6363310253944083,0.9916666666666667,0.986013986013986
diabetes_130,mlp,47,0,captum,captum_approx,gradient_shap,512,captum / gradient_shap,cpu,marginal,100,10,0.0673,0,0.1555504162129211,0.31643129086652316,0.0012192724865589628,0.953125,0.9602891969407266
diabetes_130,mlp,47,0,captum,captum_approx,deep_lift_shap,512,captum / deep_lift_shap,cpu,marginal,100,10,0.022,0,0.6294949333373457,0.31643129086652316,0.0012192724865589628,0.953125,0.9602891969407266
diabetes_130,mlp,47,0,shap,shap_nn_approx,gradient,512,shap / gradient,cpu,marginal,100,10,0.3696,0,0.0871990714175224,0.12200103672782553,0.0005164921245158252,0.9375,0.9543738049713191
diabetes_130,mlp,47,0,shap,shap_nn_approx,deep,512,shap / deep,cpu,marginal,100,10,0.0259,0,0.5347723877639223,0.38238550651449943,0.0013901082783164345,0.953125,0.9607911089866155
diabetes_130,mlp,47,0,lightshap,lightshap_approx,kernel,512,lightshap / kernel,cpu,marginal,100,10,54.5687,47104110,4.690336277120448e-08,0.3886281970928914,0.0014180688925681999,0.93125,0.9288281558199285
diabetes_130,mlp,47,0,lightshap,lightshap_approx,permutation,512,lightshap / permutation,cpu,marginal,100,10,54.126,45150110,4.690336331784156e-08,0.38663004045496396,0.0014072241038291472,0.934375,0.9344876526857686
diabetes_130,mlp,47,0,dalex,dalex_approx,permutation,512,dalex / permutation,cpu,marginal,100,10,1.8679,529111,2.807913031799976e-07,0.3759674203862034,0.0013785902745749286,0.934375,0.9443714149139579
diabetes_130,mlp,47,0,shapiq_proxy,shapiq_proxy,proxy,512,shapiq / proxyShap,cpu,marginal,100,10,0.9296,512101,1.791511011781687e-07,0.701277953397608,0.002256260479707021,0.915625,0.8895656701789212
diabetes_130,mlp,47,0,shapiq,shapiq_approx,kernel,512,shapiq / kernel,cpu,marginal,100,10,0.6286,512101,4.613318248434734e-08,0.4463654250458012,0.0016782546454911808,0.909375,0.8764115619656614
diabetes_130,mlp,47,0,shapiq,shapiq_approx,permutation,512,shapiq / permutation,cpu,marginal,100,10,1.1966,508101,2.1900463900364445e-07,0.3872256340202447,0.0014073867597966232,0.928125,0.9326477321991546
diabetes_130,transformer,47,0,captum,captum_approx,gradient_shap,512,captum / gradient_shap,cpu,marginal,100,10,6.4119,0,0.0447698273883799,0.6141010324062001,0.0004150207123213108,0.85625,0.819562619502868
diabetes_130,transformer,47,0,captum,captum_approx,deep_lift_shap,512,captum / deep_lift_shap,cpu,marginal,100,10,2.4049,0,0.3612704156584924,0.6141010324062001,0.0004150207123213108,0.85625,0.819562619502868
diabetes_130,transformer,47,0,shap,shap_nn_approx,gradient,512,shap / gradient,cpu,marginal,100,10,5.4514,0,0.0697464170863393,0.09171509280694601,6.996939758075426e-05,0.9875,0.990977533460803
diabetes_130,transformer,47,0,shap,shap_nn_approx,deep,512,shap / deep,cpu,marginal,100,10,2.3019,0,0.4847022520671134,0.43583529128736137,0.00030867648983574214,0.940625,0.9355043021032502
diabetes_130,transformer,47,0,lightshap,lightshap_approx,kernel,512,lightshap / kernel,cpu,marginal,100,10,3600.5166,7461310,,,,,
diabetes_130,transformer,47,0,lightshap,lightshap_approx,permutation,512,lightshap / permutation,cpu,marginal,100,10,3600.753,7446110,,,,,
diabetes_130,transformer,47,0,dalex,dalex_approx,permutation,512,dalex / permutation,cpu,marginal,100,10,177.888,529111,1.546771944858812e-06,0.0769150488238513,5.8940742198063494e-05,0.98125,0.9889698852772467
