dataset,model,n_features,library,approximator,budget,method,seed_count,run_count,time_cap_count,evals_missing_count,runtime_median,runtime_q25,runtime_q75,evals_median,cross_method_rho_median,successful_run_count
ames_housing,gradient_boosting,32,dalex,permutation,1024,dalex / permutation,10,10,0,0,17.680500000000002,17.6194,17.722275,1057111.0,0.9505943151176324,10
ames_housing,gradient_boosting,32,lightshap,kernel,520,lightshap / kernel,10,10,0,0,54.338750000000005,53.72895,55.344025,32240110.0,0.94605965172505,10
ames_housing,gradient_boosting,32,lightshap,kernel,1024,lightshap / kernel,10,10,0,0,106.59955,105.47229999999999,107.59615,63488110.0,0.9539628511748195,10
ames_housing,gradient_boosting,32,lightshap,permutation,520,lightshap / permutation,10,10,0,0,52.2598,51.7855,54.4022,30224110.0,0.9471596536648041,10
ames_housing,gradient_boosting,32,lightshap,permutation,1024,lightshap / permutation,10,10,0,0,102.5197,102.1599,103.3415,59456110.0,0.9548554290720208,10
ames_housing,gradient_boosting,32,shap,kernel,520,shap / kernel,10,10,0,0,0.4299,0.42935,0.434375,520110.0,0.8032277901814788,10
ames_housing,gradient_boosting,32,shap,kernel,1024,shap / kernel,10,10,0,0,0.8563000000000001,0.8487,0.86925,1024110.0,0.811999841100527,10
ames_housing,gradient_boosting,32,shap,permutation,520,shap / permutation,10,10,0,0,4.5654,4.530075,4.6,382160.5,0.9450493379689451,10
ames_housing,gradient_boosting,32,shap,permutation,1024,shap / permutation,10,10,0,0,0.71025,0.69965,0.74685,706566.0,0.9533575619773795,10
ames_housing,gradient_boosting,32,shapiq,kernel,520,shapiq / kernel,10,10,0,0,2.51795,2.3663250000000002,2.6062000000000003,520101.0,0.8967973334319936,10
ames_housing,gradient_boosting,32,shapiq,kernel,1024,shapiq / kernel,10,10,0,0,3.0443,3.033225,3.063675,1024101.0,0.9206545994757184,10
ames_housing,gradient_boosting,32,shapiq,permutation,520,shapiq / permutation,10,10,0,0,9.634,9.483775,9.801625,498101.0,0.940299582435549,10
ames_housing,gradient_boosting,32,shapiq,permutation,1024,shapiq / permutation,10,10,0,0,14.42115,14.2367,14.5044,994101.0,0.9502468591856881,10
ames_housing,gradient_boosting,79,dalex,permutation,520,dalex / permutation,10,10,0,0,10.452300000000001,10.309425000000001,10.592374999999999,561111.0,0.8425240077159606,10
ames_housing,gradient_boosting,79,dalex,permutation,1024,dalex / permutation,10,10,0,0,19.28585,18.99285,19.3809,1041111.0,0.8715573040716693,10
ames_housing,gradient_boosting,79,lightshap,kernel,520,lightshap / kernel,10,10,0,0,446.96835,445.6007,448.699675,81120110.0,0.8464459563301311,10
ames_housing,gradient_boosting,79,lightshap,kernel,1024,lightshap / kernel,10,10,10,0,,,,,,0
ames_housing,gradient_boosting,79,lightshap,permutation,520,lightshap / permutation,10,10,0,0,140.4823,139.410625,140.8594,79198110.0,0.8590977404329172,10
ames_housing,gradient_boosting,79,lightshap,permutation,1024,lightshap / permutation,10,10,0,0,277.08045000000004,276.108975,278.077675,155806110.0,0.8776524746536749,10
ames_housing,gradient_boosting,79,shap,kernel,520,shap / kernel,10,10,0,0,0.5757,0.5727,0.580375,520110.0,0.5559897805645346,10
ames_housing,gradient_boosting,79,shap,kernel,1024,shap / kernel,10,10,0,0,1.0995,1.090525,1.113275,1024110.0,0.5689054434944478,10
ames_housing,gradient_boosting,79,shap,permutation,520,shap / permutation,10,10,0,0,4.54725,4.518750000000001,4.58315,270964.0,0.8549250089633422,10
ames_housing,gradient_boosting,79,shap,permutation,1024,shap / permutation,10,10,0,0,0.71235,0.6965,0.7257,492658.5,0.8769425699216549,10
ames_housing,gradient_boosting,79,shapiq,kernel,520,shapiq / kernel,10,10,0,0,2.9638999999999998,2.9412000000000003,2.9887,520101.0,0.686484943913412,10
ames_housing,gradient_boosting,79,shapiq,kernel,1024,shapiq / kernel,10,10,0,0,3.47275,3.454325,3.487775,1024101.0,0.7410590664060905,10
ames_housing,gradient_boosting,79,shapiq,permutation,520,shapiq / permutation,10,10,0,0,7.35225,7.31965,7.4506,470101.0,0.8413072944721645,10
ames_housing,gradient_boosting,79,shapiq,permutation,1024,shapiq / permutation,10,10,0,0,9.506049999999998,9.420425,9.5723,1016101.0,0.8691361028995255,10
ames_housing,linear_regularized,14,dalex,permutation,520,dalex / permutation,10,10,0,0,3.29665,3.274125,3.3345,556111.0,0.9979360869033466,10
ames_housing,linear_regularized,14,dalex,permutation,1024,dalex / permutation,10,10,0,0,6.4860500000000005,6.45425,6.64285,1096111.0,0.9979360869033466,10
ames_housing,linear_regularized,14,lightshap,kernel,520,lightshap / kernel,10,10,0,0,13.7815,13.68675,13.9471,13520110.0,0.9979360869033466,10
ames_housing,linear_regularized,14,lightshap,kernel,1024,lightshap / kernel,10,10,0,0,27.19435,26.718775,27.53175,26624110.0,0.9979360869033466,10
ames_housing,linear_regularized,14,lightshap,permutation,520,lightshap / permutation,10,10,0,0,13.16965,13.092925000000001,13.339375,11468110.0,0.9979360869033466,10
ames_housing,linear_regularized,14,lightshap,permutation,1024,lightshap / permutation,10,10,0,0,25.88745,25.49515,26.131475000000002,22556110.0,0.9979360869033466,10
ames_housing,linear_regularized,14,shap,kernel,520,shap / kernel,10,10,0,0,0.13729999999999998,0.1359,0.1396,520110.0,0.9878387573609934,10
ames_housing,linear_regularized,14,shap,kernel,1024,shap / kernel,10,10,0,0,0.2413,0.2375,0.246175,1024110.0,0.9883943472132773,10
ames_housing,linear_regularized,14,shap,permutation,520,shap / permutation,10,10,0,0,4.31875,4.26205,4.36275,349682.0,0.9979360869033466,10
ames_housing,linear_regularized,14,shap,permutation,1024,shap / permutation,10,10,0,0,0.27849999999999997,0.27344999999999997,0.29155,699838.0,0.9979360869033466,10
ames_housing,linear_regularized,14,shapiq,kernel,520,shapiq / kernel,10,10,0,0,0.72115,0.715475,0.727625,520101.0,0.9979360869033466,10
ames_housing,linear_regularized,14,shapiq,kernel,1024,shapiq / kernel,10,10,0,0,0.8835500000000001,0.880225,0.8942749999999999,1024101.0,0.9979360869033466,10
ames_housing,linear_regularized,14,shapiq,permutation,520,shapiq / permutation,10,10,0,0,4.7181,4.6964250000000005,4.7829500000000005,509101.0,0.9979360869033466,10
ames_housing,linear_regularized,14,shapiq,permutation,1024,shapiq / permutation,10,10,0,0,8.52245,8.453175,8.548549999999999,1016101.0,0.9979360869033466,10
ames_housing,linear_regularized,32,dalex,permutation,520,dalex / permutation,10,10,0,0,3.2702999999999998,3.247175,3.3502,529111.0,0.9685838938019831,10
ames_housing,linear_regularized,32,dalex,permutation,1024,dalex / permutation,10,10,0,0,6.4636499999999995,6.4295,6.631,1057111.0,0.9696581074490394,10
ames_housing,linear_regularized,32,lightshap,kernel,520,lightshap / kernel,10,10,0,0,29.54605,29.07845,30.196275,32240110.0,0.9684470890603056,10
ames_housing,linear_regularized,32,lightshap,kernel,1024,lightshap / kernel,10,10,0,0,58.249300000000005,57.273375,59.082049999999995,63488110.0,0.9696581074490394,10
ames_housing,linear_regularized,32,lightshap,permutation,520,lightshap / permutation,10,10,0,0,28.369,28.013325000000002,28.53165,30224110.0,0.9685090857832852,10
ames_housing,linear_regularized,32,lightshap,permutation,1024,lightshap / permutation,10,10,0,0,55.4793,54.8332,56.836025,59456110.0,0.9696581074490394,10
ames_housing,linear_regularized,32,shap,kernel,520,shap / kernel,10,10,0,0,0.19835,0.1972,0.20385,520110.0,0.8115033628118985,10
ames_housing,linear_regularized,32,shap,kernel,1024,shap / kernel,10,10,0,0,0.4063,0.404425,0.411525,1024110.0,0.8179486446942367,10
ames_housing,linear_regularized,32,shap,permutation,520,shap / permutation,10,10,0,0,4.30795,4.248125,4.335775,382160.5,0.9685838938019831,10
ames_housing,linear_regularized,32,shap,permutation,1024,shap / permutation,10,10,0,0,0.2034,0.20124999999999998,0.2093,706566.0,0.9696581074490394,10
ames_housing,linear_regularized,32,shapiq,kernel,520,shapiq / kernel,10,10,0,0,0.8061499999999999,0.8010999999999999,0.811125,520101.0,0.9685020752374944,10
ames_housing,linear_regularized,32,shapiq,kernel,1024,shapiq / kernel,10,10,0,0,1.10325,1.094375,1.109725,1024101.0,0.9696581074490394,10
ames_housing,linear_regularized,32,shapiq,permutation,520,shapiq / permutation,10,10,0,0,3.1757,3.16245,3.222625,498101.0,0.9685379814265955,10
ames_housing,linear_regularized,32,shapiq,permutation,1024,shapiq / permutation,10,10,0,0,4.80125,4.7775,4.9002,994101.0,0.9696581074490394,10
ames_housing,linear_regularized,79,dalex,permutation,520,dalex / permutation,10,10,0,0,4.341749999999999,4.276775,4.399025,561111.0,0.9258277085270221,10
ames_housing,linear_regularized,79,dalex,permutation,1024,dalex / permutation,10,10,0,0,7.9253,7.7772499999999996,7.98405,1041111.0,0.9281192609673026,10
ames_housing,linear_regularized,79,lightshap,kernel,520,lightshap / kernel,10,10,0,0,110.9414,109.773825,111.741975,81120110.0,0.9255535542936788,10
ames_housing,linear_regularized,79,lightshap,kernel,1024,lightshap / kernel,10,10,0,0,220.0648,216.754775,221.17995000000002,159744110.0,0.9280879336520673,10
ames_housing,linear_regularized,79,lightshap,permutation,520,lightshap / permutation,10,10,0,0,107.2875,106.518825,109.08122499999999,79198110.0,0.9255527429817841,10
ames_housing,linear_regularized,79,lightshap,permutation,1024,lightshap / permutation,10,10,0,0,211.9795,208.818725,215.004375,155806110.0,0.9280829636396022,10
ames_housing,linear_regularized,79,shap,kernel,520,shap / kernel,10,10,0,0,0.39685000000000004,0.392325,0.398225,520110.0,0.5575920593059399,10
ames_housing,linear_regularized,79,shap,kernel,1024,shap / kernel,10,10,0,0,0.77125,0.7676000000000001,0.776675,1024110.0,0.5702265680967237,10
ames_housing,linear_regularized,79,shap,permutation,520,shap / permutation,10,10,0,0,4.4495000000000005,4.3914,4.661275,270964.0,0.9258714164941229,10
ames_housing,linear_regularized,79,shap,permutation,1024,shap / permutation,10,10,0,0,0.4185,0.39894999999999997,0.422925,492658.5,0.9281192609673026,10
ames_housing,linear_regularized,79,shapiq,kernel,520,shapiq / kernel,10,10,0,0,1.2939500000000002,1.28585,1.2988499999999998,520101.0,0.9255573073602184,10
ames_housing,linear_regularized,79,shapiq,kernel,1024,shapiq / kernel,10,10,0,0,1.6406,1.627,1.6507,1024101.0,0.9280864121927965,10
ames_housing,linear_regularized,79,shapiq,permutation,520,shapiq / permutation,10,10,0,0,2.8571,2.815825,2.904,470101.0,0.9257696553242951,10
ames_housing,linear_regularized,79,shapiq,permutation,1024,shapiq / permutation,10,10,0,0,3.73285,3.6542,3.79095,1016101.0,0.9281090520413116,10
ames_housing,random_forest,14,dalex,permutation,520,dalex / permutation,10,10,0,0,40.7543,40.64685,41.2474,556111.0,0.9737110465516123,10
ames_housing,random_forest,14,dalex,permutation,1024,dalex / permutation,10,10,0,0,80.33539999999999,80.074375,81.202725,1096111.0,0.9796695465104467,10
ames_housing,random_forest,14,lightshap,kernel,520,lightshap / kernel,10,10,0,0,88.27895000000001,87.57685000000001,88.640825,13520110.0,0.9788761892500606,10
ames_housing,random_forest,14,lightshap,kernel,1024,lightshap / kernel,10,10,0,0,173.9448,173.3037,174.79,26624110.0,0.9820308745556552,10
ames_housing,random_forest,14,lightshap,permutation,520,lightshap / permutation,10,10,0,0,82.92705000000001,82.6308,83.165425,11468110.0,0.9813755321785398,10
ames_housing,random_forest,14,lightshap,permutation,1024,lightshap / permutation,10,10,0,0,162.66320000000002,161.91207500000002,163.376125,22556110.0,0.9849703835501227,10
ames_housing,random_forest,14,shap,kernel,520,shap / kernel,10,10,0,0,1.70645,1.6849,1.7435,520110.0,0.9728007920258391,10
ames_housing,random_forest,14,shap,kernel,1024,shap / kernel,10,10,0,0,3.15115,3.103425,3.219625,1024110.0,0.9741712469948063,10
ames_housing,random_forest,14,shap,permutation,520,shap / permutation,10,10,0,0,6.9209,6.7752,7.098875,349682.0,0.9786124118302503,10
ames_housing,random_forest,14,shap,permutation,1024,shap / permutation,10,10,0,0,5.2490000000000006,5.1922999999999995,5.442025,699838.0,0.9845229449070643,10
ames_housing,random_forest,14,shapiq,kernel,520,shapiq / kernel,10,10,0,0,8.98145,8.829350000000002,9.040775,520101.0,0.9497241506962812,10
ames_housing,random_forest,14,shapiq,kernel,1024,shapiq / kernel,10,10,0,0,10.7572,10.6583,10.860275,1024101.0,0.9567933921109,10
ames_housing,random_forest,14,shapiq,permutation,520,shapiq / permutation,10,10,0,0,67.73685,67.139825,68.45145000000001,509101.0,0.9737840296932924,10
ames_housing,random_forest,14,shapiq,permutation,1024,shapiq / permutation,10,10,0,0,122.2119,121.16967500000001,123.5326,1016101.0,0.9794116706653753,10
ames_housing,random_forest,32,dalex,permutation,520,dalex / permutation,10,10,0,0,38.56125,38.242625000000004,39.057675,529111.0,0.9326856027962167,10
ames_housing,random_forest,32,dalex,permutation,1024,dalex / permutation,10,10,0,0,77.0595,76.67112499999999,77.533275,1057111.0,0.9452083569270822,10
ames_housing,random_forest,32,lightshap,kernel,520,lightshap / kernel,10,10,0,0,140.9245,140.15892499999998,141.886875,32240110.0,0.9348494692001612,10
ames_housing,random_forest,32,lightshap,kernel,1024,lightshap / kernel,10,10,0,0,276.48969999999997,275.4613,279.972525,63488110.0,0.948162998586786,10
ames_housing,random_forest,32,lightshap,permutation,520,lightshap / permutation,10,10,0,0,135.12664999999998,134.283725,137.39875,30224110.0,0.9377077488857377,10
ames_housing,random_forest,32,lightshap,permutation,1024,lightshap / permutation,10,10,0,0,267.13705,264.32910000000004,270.38897499999996,59456110.0,0.9495739040611962,10
ames_housing,random_forest,32,shap,kernel,520,shap / kernel,10,10,0,0,1.7736,1.756125,1.7949000000000002,520110.0,0.79975206023346,10
