dataset,model,n_background,n_features,n_samples,max_depth,n_estimators,max_depth_config,order,backend,library,mode,seed,imputer,n_eval,runtime_s,additivity_gap,relative_additivity_gap,mean_abs_diff,relative_mae,sign_agreement,mean_sample_rho,is_failure
gisette,xgboost,100,1000,10000,20,100,80,1,woodelf_path_dependent,woodelf,path_dependent,0,marginal,10,1.4766,0.0181686401367187,0.0027859148338792,7.321961234494074e-05,0.0060506627172390685,0.9987654320987654,0.9983603767794762,False
gisette,xgboost,100,1000,10000,20,100,80,1,woodelf_interventional,woodelf,interventional,0,marginal,10,1.6603,8.219190941183285e-07,1.2218438636094837e-07,1.663299636120778e-10,1.3867697097387798e-08,1.0,0.9997827766082228,False
gisette,xgboost,100,1000,10000,20,100,80,1,fasttreeshap_path_dependent,fasttreeshap,path_dependent,0,marginal,10,0.0001,,,,,,,True
gisette,lightgbm,100,1000,10000,4,100,4,1,shap_tree_path_dependent,shap,path_dependent,0,marginal,10,0.0197,2.6201263381153696e-15,5.103520276601873e-16,3.7762681090627467e-10,3.567884842610049e-08,1.0,1.0,False
gisette,lightgbm,100,1000,10000,4,100,4,1,shapiq_tree_path_dependent,shapiq,path_dependent,0,marginal,10,0.5553,2.842170943040401e-15,5.536021994957967e-16,3.776268109560243e-10,3.567884843080094e-08,1.0,1.0,False
gisette,lightgbm,100,1000,10000,4,100,4,1,shapiq_tree_interventional,shapiq,interventional,0,marginal,10,3.8003,7.977702978223536e-08,1.499369418140946e-08,3.5710249211510363e-10,3.340010290851309e-08,1.0,1.0,False
gisette,lightgbm,100,1000,10000,4,100,4,1,woodelf_path_dependent,woodelf,path_dependent,0,marginal,10,0.3453,1.2414374459979171e-06,2.4180899545250244e-07,1.1328804102982012e-09,1.0703654315996147e-07,1.0,1.0,False
gisette,lightgbm,100,1000,10000,4,100,4,1,woodelf_interventional,woodelf,interventional,0,marginal,10,0.4239,7.37905000658401e-08,1.3868555829924512e-08,3.5710249211510363e-10,3.340010290851309e-08,1.0,1.0,False
gisette,lightgbm,100,1000,10000,4,100,4,1,fasttreeshap_path_dependent,fasttreeshap,path_dependent,0,marginal,10,7.9165,3.197442310920451e-15,6.228024744327709e-16,3.7762681745165683e-10,3.567884904451981e-08,1.0,1.0,False
gisette,lightgbm,100,1000,10000,8,100,8,1,shap_tree_path_dependent,shap,path_dependent,0,marginal,10,0.0442,4.6185277824406506e-15,6.464015245488834e-16,6.729216084558172e-10,5.145966059176734e-08,1.0,1.0,False
