dataset,model,library,backend,approximator,budget,method,is_reference,seed_count,runtime_median,runtime_q25,runtime_q75,relative_mae_median,rho_median
ames_housing,random_forest,shap,shap_approx,permutation,512.0,shap / permutation,False,10,2.9920999999999998,2.9396750000000003,2.9946,0.027503450741856707,0.9951048951048951
ames_housing,random_forest,shap,shap_approx,permutation,2048.0,shap / permutation,False,10,11.6847,11.600525000000001,11.768550000000001,0.013246833952720027,0.9975524475524478
ames_housing,random_forest,shapiq,shapiq_approx,kernel,128.0,shapiq / kernel,False,10,7.198,7.173325,7.22015,0.16953275059134965,0.9241258741258742
ames_housing,random_forest,shapiq,shapiq_approx,kernel,512.0,shapiq / kernel,False,10,8.582450000000001,8.517875,8.680975,0.06630536656908007,0.9762237762237762
ames_housing,random_forest,shapiq,shapiq_approx,kernel,2048.0,shapiq / kernel,False,10,14.191199999999998,14.094299999999999,14.213524999999999,0.022759738182493872,0.9912587412587414
ames_housing,random_forest,shapiq,shapiq_approx,permutation,128.0,shapiq / permutation,False,10,33.54115,33.024425,33.784850000000006,0.10918138159254268,0.9699300699300699
ames_housing,random_forest,shapiq,shapiq_approx,permutation,512.0,shapiq / permutation,False,10,80.4899,79.4775,81.653475,0.05397024014995486,0.9870629370629371
ames_housing,random_forest,shapiq,shapiq_approx,permutation,2048.0,shapiq / permutation,False,10,269.9507,265.6801,270.58515,0.025860947097351945,0.9940559440559442
bike,decision_tree,dalex,dalex_approx,permutation,128.0,dalex / permutation,False,10,0.94275,0.9277,0.949075,0.22819748873212814,0.938811188811189
bike,decision_tree,dalex,dalex_approx,permutation,512.0,dalex / permutation,False,10,3.6847000000000003,3.60235,3.699875,0.1050376167745425,0.9776223776223777
bike,decision_tree,dalex,dalex_approx,permutation,2048.0,dalex / permutation,False,10,13.953949999999999,13.847199999999999,14.1709,0.05580412987284987,0.9884615384615385
bike,decision_tree,lightshap,lightshap_approx,kernel,128.0,lightshap / kernel,False,10,2.5376,2.29995,2.755025,0.04053304271180738,0.9821678321678322
